Name,NSamples,minBookDepth,p25BookDepth,p50BookDepth,p75BookDepth,p90BookDepth,p99BookDepth,p999BookDepth,p9999BookDepth,maxBookDepth
CELP,3160,0,0,6,14,141,504,746,746,746
CEM,4214,0,0,0,9,35,949,17092323,19706920,19997431
CEMB,226,0,7,205,1151,1381,1693,4406,4406,4406
CEMI,1526,0,1,4,13,52,324,14914251,19490998,19999526
CEMP,44786,0,0,0,4,15,784,1804,16799584,19997363
CEN,1036,0,0,0,0,50,527,818,818,818
CENT,11295,0,0,2,10,30,250,3868119,18385880,19998965
CENTA,21473,0,0,0,3,7,254,284,15705736,19999061
CENX,131543,0,0,2,5,10,51,690,1572,19997665
CEO,22786,0,0,17,44,63,631,3970,9155,11700
CEQP,16101,0,0,1,3,32,206,223,16779913,19999176
CERE,848,0,140,476,1120,8546787,18861805,19893307,19996457,20007919
CERN,338510,0,0,4,9,16,44,1338,3742,19993323
CERS,48653,0,0,0,1,9,149,478,13050967,19999477
CERU,2697,0,0,0,12,160,496,2024392,18201530,19998990
CET,735,0,0,1,134,473,666,824,824,824
CETV,7822,0,0,0,1,13,656,17393084,19739066,19999731
CEV,216,0,0,87,361,389,13829156,19381669,19936920,19998615
CEVA,23063,0,0,2,8,17,505,1033,17692535,19998032
CEW,2758,0,0,0,4,9,538,12120853,19210426,19998157
CF,119072,0,12,28,68,268,732,12422613,19214553,19969213
CFA,32524,0,0,1,2,5,13,1003,3224,3224
CFBK,667,0,2,12,38,954,11108816,19110761,19910956,19999867
CFC-A,344,0,0,3,474,698,10172552,19014896,19899130,19997379
CFC-B,590,0,0,2,2,94,716,719,719,719
CFD,593,0,0,0,8,364,462,462,462,462
CFFI,1443,0,73,462,2417,7453954,18742119,19870935,19983817,19996360
CFFN,49377,0,0,0,1,4,74,364,13828551,19998746
CFG,28612,0,0,1,2,8,175,534,712,712
CFGE,1333,0,0,3,4,39,470,15556352,19553986,19998168
CFI,5605,0,0,3,12,103,602,17561894,19754387,19997998
CFN,121696,0,0,1,5,7,14,1181,1218,1367
CFNB,2222,0,0,0,0,90,14950217,19493763,19948118,19998602
CFNL,24337,0,0,0,5,14,325,537,15943411,19998199
CFO,33601,0,0,1,3,7,15,1010,3225,19996409
CFP,2329,0,0,0,0,11,425,1044,1049,1049
CFR,99338,0,0,2,5,9,50,1283,2193,3399
CFR-A,119,0,0,123,467,525,633,845,845,845
CFRX,854,0,0,34,63,144,16204995,19620057,19961563,19999509
CFRXW,754,0,15,40,56,1650,17400501,19739896,19973835,19999829
CFRXZ,458,0,166,1001,2079,2401,10842777,19085086,19909317,20000899
CFX,119464,0,0,3,17,33,109,913,1112,19995434
CG,31346,0,0,1,11,22,729,1332,14775017,19997353
CGA,1546,0,0,1,10,48,72,4543812,18454172,19999768
CGEN,16559,0,0,0,5,10,613,1605650,18159885,19999245
CGG,4873,0,0,0,3,36,168,188,369,369
CGI,21281,0,0,0,4,11,668,788,16452037,19997549
CGIX,4815,0,0,7,28,202,695,14336171,19432940,19999248
CGNX,78918,0,0,2,6,20,270,1115,13422646,19996279
CGO,2862,0,0,0,7,13,353,606,14276475,19998661
CGW,5170,0,0,1,7,23,797,10600574,19057042,19996650
CH,1519,0,0,0,0,13,226,325,361,361
CHA,7143,0,0,2,24,45,1039,1983,4158,4158
CHCI,5223,0,0,0,0,113,2850,11297116,19129617,19999895
CHCO,18831,0,0,11,28,37,1170,1173452,18113408,19995626
CHD,143418,0,0,2,6,12,40,1596,2034666,9991880
CHDN,16773,0,0,32,97,226,2556,271863,18018519,19990370
CHE,12726,0,0,2,22,44,2796,3248,8401464,9989796
CHEF,12278,0,0,0,10,20,616,879,15906599,19997791
CHEP,2544,0,15,84,129,272,763,16818597,19679508,19997387
CHEV,1304,0,0,0,0,327,4662342,18465013,19845280,19998644
CHFC,26295,0,0,1,11,24,688,964,16711479,19997047
CHFN,7892,0,0,0,6,18,296,8728045,18871798,19998882
CHGG,5174,0,0,0,2,8,187,225,335,335
CHH,20941,0,0,1,10,26,1032,3994,54121,61519
CHI,12445,0,0,0,6,9,241,390,16888446,19998719
CHIE,1381,0,0,1,6,54,407,7698445,9768630,9998651
CHII,3402,0,0,0,1,6,370,496,548,548
CHIM,1383,0,0,1,3,113,454,16542136,19652877,19998515
CHIQ,3509,0,0,1,5,13,379,12982671,19296765,19998331
CHIX,2248,0,0,1,6,15,432,15503838,19548891,19998342
CHK,756922,0,0,0,1,5,17,249,3015,19998022
CHK-D,346,0,0,316,1121,2251,3238,4871,4871,4871
CHKE,4427,0,0,11,19,128,544,12622343,19260568,19998149
CHKP,196014,0,0,3,11,24,65,2141,9109593,19992399
CHKR,7939,0,0,1,5,35,197,521,8680,9592
CHL,120761,0,1,5,10,17,47,1669,2507,3297
CHLN,680,0,4,856,1350,1800,15470930,19550736,19958716,20004048
CHMG,593,0,0,75,333,756,16510297,19648479,19962297,19997166
CHMI,4939,0,0,0,5,14,468,496,496,496
CHMT,103339,0,0,1,2,5,32,670,1093,11814
CHN,1842,0,0,0,0,112,510,561,561,561
CHNA,2930,0,0,19,26,37,896,1376,1376,1376
CHNB,184,0,0,185,385,1781,5108,6226,6338,6351
CHNR,615,0,0,5,45,150,11216375,19121465,19911974,19999809
CHOC,1815,0,0,0,1,98,1554,13948764,19391330,19996060
CHOP,1003,0,0,147,1714,2079,11281399,19129669,19914496,20001699
CHRS,11116,0,0,1,14,55,644,9895947,18987549,19997728
CHRW,270193,0,0,2,9,19,52,1390,5396690,19992832
CHS,174504,0,0,1,4,8,15,330,372,19998319
CHSCL,2956,0,0,0,5,75,2615765,18259190,19823533,19997349
CHSCM,5274,0,0,0,3,6,183,719,8458,12319
CHSCN,4570,0,0,2,8,10,718,6945208,18692153,19997370
CHSCO,3796,0,0,3,5,8,782,10510895,19048559,19997189
CHSCP,3052,0,0,0,1,51,1322,17963080,19793541,19996926
CHSP,38453,0,0,0,8,17,261,1249,1447,1735
CHSP-A,256,0,0,125,402,729,1183,1240,1240,1240
CHT,7968,0,0,3,6,13,539,946,946,946
CHTR,108936,0,2,12,28,57,245,4543,17741009,19984850
CHU,16385,0,0,1,3,6,108,434,446,455
CHUY,17667,0,0,1,9,20,617,374866,18035515,19997810
CHW,5292,0,0,0,4,13,247,1458,17353906,19999130
CHXF,2154,0,0,0,3,8,3160,16406585,19635929,19994745
CHY,11524,0,0,2,7,11,264,702,17118512,19998589
CHYR,1542,0,0,0,0,28,146,16145733,19614316,19999715
CI,233829,0,2,6,11,17,49,1716,2418,4672
CIA,4586,0,0,1,9,50,207,4270053,9426345,9999267
CIB,35448,0,0,3,7,16,319,3562,17269904,19995359
CIDM,3742,0,0,0,1,9,85,10647259,19064591,19999851
CIE,150193,0,0,0,1,6,21,195,416,9999060
CIEN,258120,0,0,1,6,12,20,523,816,19998133
CIF,3498,0,0,0,0,1,62,76,81,81
CIFC,2638,0,0,0,8,61,561,17889335,19788136,19999114
CIG,64313,0,0,0,4,8,16,131,1964807,9999554
CIG.C,230,0,0,0,26,90,164,195,195,195
CII,2337,0,0,0,2,44,411,712,712,712
CIK,2973,0,0,0,0,1,89,144,216,216
CIM,13041,0,0,0,1,8,62,94,6811,10205
CIMT,1954,0,0,0,10,157,8836690,18882880,19887499,19999124
CINF,191291,0,1,4,8,21,64,1012,4801,19994852
CIO,1720,0,0,0,9,89,648,11401264,19138727,19998446
CIR,13858,0,0,1,11,29,1392,2078,17686390,19994890
CISAW,156,0,0,551,1096,1792,5572,6130,6186,6193
CISG,8453,0,0,0,1,9,227,1187,17886548,19999184
CIT,171020,0,0,1,4,7,19,864,1231,19995553
CIU,14840,0,2,8,17,29,884,4380422,18428054,19988902
CIVI,5840,0,0,4,12,23,536,1193,17079070,19998057
CIX,2096,0,0,0,76,288,2956,8835148,9882506,9998880
CIZ,26206,0,0,1,2,3,8,973,2847,19996566
CIZN,312,0,45,182,517,895,16099456,19608248,19959127,19998114
CJES,96073,0,0,1,3,6,75,334,458,9998925
CJJD,2409,0,0,3,19,69,365,15620877,19561836,19999721
CKEC,35020,0,0,2,11,23,768,828,14162833,19997234
CKH,26045,0,0,1,18,38,2100,9785234,18971913,19992656
CKP,21066,0,0,1,3,8,236,378,7367102,9998691
CKSW,5317,0,0,0,6,39,333,15167026,19516055,19999281
CKX,27896,0,0,0,390187,12154983,19213861,19919749,19990337,19998181
CL,446409,0,0,1,5,8,25,482,1435,19993173
CLA,518,0,0,0,77,704,1301,1301,1301,1301
CLAC,146,0,0,41,278,9933030,18992358,19898290,19988884,19998950
CLACU,228,0,5,82,288,5753260,18574381,19856493,19984704,19998950
CLACW,216,0,0,0,1081,3680,15203388,19522929,19954884,20002879
CLB,71369,0,0,5,25,72,222,2819,2072113,9990521
CLBH,278,0,0,121,274,6103175,18609434,19860060,19985123,19999019
CLC,39041,0,0,3,8,22,287,1982,16091827,19993727
CLCT,19472,0,0,1,16,31,517,1234,16753440,19997568
CLD,57953,0,0,0,1,3,55,450,11722664,19999309
CLDN,22370,0,0,0,8,19,483,1362880,18134785,19998331
CLDT,18010,0,0,0,4,11,759,900,7747491,9996923
CLDX,237822,0,0,2,10,22,125,952,10488394,19997896
CLF,210136,0,0,0,2,6,50,139,842,19999334
CLFD,14186,0,0,1,9,26,345,1471,5817094,19998446
CLGX,88294,0,0,3,12,32,146,712,10706423,19996647
CLH,51820,0,0,1,4,9,227,1279,13520839,19995149
